User_name,User_Title,User_Review,User_Helpful,User_Date,User_Location,User_Stars
Airborne,Stephen Fry > Jim Dale,Jim Dale's character voices were no where near as good as Stephen Fry's and I immediately went online to find the older audio books.,31,13 de junio de 2021,Estados Unidos,1
kimbacaffeinate,Dale does a wonderful job bringing these characters to life,"t was wonderful revisiting this story. The last time I did a reread was when I bought the illustrated edition and of course, it all started with me looking at the beautiful illustrations and the next thing you know I was lost to this world. Honestly, it never gets old.
Rowling’s writing is marvelous from pacing to her ability to express the character’s emotions. I know there are folks who have not yet read the series (gasps). I, of course, cannot recommend them enough regardless of format. The movies are brilliant, but only scratch the surface of what the books and audios have to offer. If you love Harry Potter but have never tried audio, this is the perfect time to listen.",34,20 de julio de 2017,Estados Unidos,5
wayne t.,Delightful,Excellent story and the narrator made it even better. I have avoided these books because I thought they were too young for me but I truly enjoyed this! Will definitely listen to more!,11,29 de octubre de 2019,Estados Unidos,5
Karen Compton,Loved,"I loved listening to this book! I read the series years ago and have seen the movies, but listening brings them to life again😄 I just wish the series was included in my kindle unlimited membership. The other books are way to expensive to listen to, so this will be my only one I’m afraid. I still loved listening to Book 1!",8,1 de enero de 2020,Estados Unidos,5
Gregorus S. Davis,"Overall the narrator does a good job, although his voice for Hermione is pretty ...","I purchased it for a road trip and it kept the kids entertained the entire time, even though they've read the book before. Overall the narrator does a good job, although his voice for Hermione is pretty whiny. It got grating very quickly and if the kids hadn't wanted to finish listening I probably wouldn't have made it all the way through. I've heard he does a better job in the subsequent books.",9,17 de junio de 2018,Estados Unidos,3
Juss B,I finally decided to read them but felt better about the audiobook,"My wife is the big fan of series.
I finally decided to read them but felt better about the audiobook.
I have watched movie couple of times over years and feel although the movie is well made and mostly true to book but are no match.
Book does excellent job building excitement around new and magical things before revealing them.
Characters are very well defined and a lot of extra stuff in books if you are like me and have just watched movies.",6,30 de marzo de 2018,Estados Unidos,5
DanCraChe,Great,I watched movie 🎥 but never read the book. This is a great audiobook. Hopefully there’s whole series,3,26 de noviembre de 2020,Estados Unidos,5
trisha Carpenter,Awesome,"Best series ever, there's one guy who does narrating he is very good.",2,4 de septiembre de 2021,Estados Unidos,5
Katherine masterson,It’s a yes for me!,We opted for this in audible for my 6 year old son to listen to at bedtime! It’s wonderful he loves it and it keeps his attention and calms him down before bed.,,4 de noviembre de 2020,Estados Unidos,5
Jessica Long,Perfect for commutes!,Great book to listen to on long trips. I’ve also read them a few times but the voices Jim uses are all amazing and very engaging with the story.,3,1 de julio de 2019,Estados Unidos,5
