Title_name,Title_User,Title_Review,Title_Date,Title_Stars,Title_Hepful,
Great fun!,TheLittleSongbird,"I really liked this film, but I much prefer the book, which has a lot more magic and wonder. Daniel Radcliffe is very likable as Harry, and he is given solid support by a funny Rupert Grint and a good Emma Watson, though she was annoying at times. The scene stealer was definitely Robbie Coltrane; I actually can't imagine anyone else playing Hagrid, Coltrane was just hilarious. Alan Rickman and Maggie Smith were also great, but for me the standout was the late Richard Harris. Now I much prefer Harris's interpretation of Dumbledore. He was soft-spoken, and actually fitted the part better. Both of these qualities were lost in the interpretation that Michael Gambon gave. I am not saying that Michael Gambon was bad, he just wasn't my ideal choice for Harris's replacement. The film is fairly faithful to its source material, and looks very beautiful. However, it is a bit long, and very young children may find Voldemort too frightening. I know because I have triplet brother and sisters who saw it, and couldn't sleep for about a month after viewing. In conclusion, a very good film, well performed and quite dark. 8/10 Bethany Cox",21 April 2009,8,21,
Gem of a children's film and a fine adaptation of the Rowling novel,Leofwine_draca,,3 August 2016,7,,
Good Start to the Series,Michael_Elliott,,5 March 2016,0,,
Great chemistry set up for the rest of the series,SnoopyStyle,"Harry Potter is an orphan living with his ignorant uncle and aunt under their stairs. He finds out that he is actually a wizard and there is a secret world out there.
This is the first of a series, and it introduces the franchise very well. Some of the style is still a little rough. The CGI isn't top notch, and the sets have some work to do. But those are minor drawbacks in an otherwise superb film.
The best part of it must be the great chemistry between the three young leads (Daniel Radcliffe, Emma Watson, Rupert Grint). That is objective number one. With that accomplished, the rest is just icing on the cake. Director Christopher Columbus must be commended for weaving a coherent and compelling story while setting the groundwork for the rest of the franchise. It is tough work, and could easily flounder in less experienced hands.",21 December 2013,8,3,
Charming and Endearing!,Hitchcoc,"How sad it is to begin the reader's comments with a whining, complaining, drone against everything about this movie. Why not pick a balanced view. Good grief! Did someone poison your dog? It made it sound like this doesn't compare favorably with ""Hamburger: The Movie."" I am a over fifty years old and thought I would be pretty lukewarm to a ""kids"" movie. I have been listening for a year to kids raving about the Harry Potter books. Their eyes light up--they are enthused about a ""book."" When I went to see it, I had just read the book the night before because I like to see how they translate. The script was delightful. The characters were charming. The acting in this movie is wonderful--were you expecting Bergman? The pacing is delightful. The sets are eerie and forbidding. I thought that the wonderment of the characters was there in full force. Who did you have in mind to play Harry? Are there any actors that you approve of? Perhaps Kevin Spacy should have played Harry. How about the blond girl from American Beauty as Hermione. Johnny Depp as Ron Weasley. Oh yeah--as I recall, Stephen Spielberg has made a couple of pretty decent movies.
We are introduced to the Harry Potter canon as he becomes a foundling, taken into a family that mistreats him and has no respect for his general goodness. Of course, they pay a price for their insensitivity and Harry takes the magical journey to enroll at Hogwarts. It is obvious that his coming has great import for everyone. He meets Ron Weasley and Hermione Granger and they begin a quest to locate the Sorcerer's Stone. We find out about Voldemort and the curse that hangs over Hogwarts, going back centuries. We are also introduced to Quiddich which will be a staple for all episodes. Harry also must struggle with what happened to his parents and, like Frodo in ""Lord of the Rings,"" his quest and what it means. Outstanding film.",28 November 2001,9,,
Year 1 at Hogwarts,Horst_In_Translation,,25 December 2014,8,,
Hogwarts or hogwash?,mark.waltz,,27 September 2017,9,,
Good but too long and with few strong characters,bob the moo,,30 December 2002,0,,
Part 1,kosmasp,"If you don't know your Potter (like me), than you might have a problem with the titles. With other series, it's easier to distinguish, which one is part 1, 2, 3 etc. etc. Even the Naked Gun series which has Parts 2 and half and 33 and a third, you still know the order (not of the Phoenix obviously!) ;o)
But enough about my (let's call it) ignorance, for the books (haven't read them guilty as charged) and off to the movie itself. Which is obviously targeted at a young audience. And it delivers on this premise. Plus it has to introduce characters to the world (for those who know them and those who don't). A good job overall, but nothing great in my eyes ...",10 October 2007,6,3,
"""There won't be a child in our world who doesn't know his name.""",classicsoncall,,1 April 2012,8,,
